Name,Phone Number,Website,Address,Google Maps URL,Rating,User Ratings Total,Price Level,Operating,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Taberna Moderna,21 886 5039,http://www.tabernamoderna.com/,"Rua dos Bacalhoeiros 18A, Lisboa",https://maps.google.com/?cid=11483880148947141376,4.4,1069,2.0,True,6:00 PM – 1:00 AM,6:00 PM – 1:00 AM,6:00 PM – 1:00 AM,6:00 PM – 1:00 AM,6:00 PM – 1:00 AM,"12:00 – 4:00 PM, 6:00 PM – 1:00 AM",Closed
Tantura,21 809 6035,http://tantura.pt/,"Rua do Trombeta 1d, Lisboa",https://maps.google.com/?cid=16676996762670799949,4.5,1527,2.0,True,Closed,6:00 PM – 12:00 AM,6:00 PM – 12:00 AM,6:00 PM – 12:00 AM,6:00 PM – 12:00 AM,6:00 PM – 12:00 AM,6:00 PM – 12:00 AM
Tapisco Lisboa,21 342 0681,http://www.tapisco.pt/,"Rua Dom Pedro V 81, Lisboa",https://maps.google.com/?cid=9332429483519413386,4.4,1290,3.0,True,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM
Tasca da Esquina,919 837 255,http://www.tascadaesquina.com/,"Rua Domingos Sequeira 41C, Lisboa",https://maps.google.com/?cid=14240201554517605171,4.4,1008,3.0,True,"12:30 – 3:00 PM, 7:00 – 10:30 PM",Closed,Closed,"12:30 – 3:00 PM, 7:00 – 10:30 PM","12:30 – 3:00 PM, 7:00 – 10:30 PM","12:30 – 3:00 PM, 7:00 – 10:30 PM","12:30 – 3:00 PM, 7:00 – 10:30 PM"
Tasca Kome,21 134 0117,,"Rua da Madalena 57, Lisboa",https://maps.google.com/?cid=14906337788662746627,4.5,783,3.0,True,Closed,12:00 – 2:30 PM,12:00 – 2:30 PM,"12:00 – 2:30 PM, 7:00 – 10:00 PM","12:00 – 2:30 PM, 7:00 – 10:00 PM","12:00 – 2:30 PM, 7:00 – 10:00 PM",Closed
Tasquinha do Lagarto,21 388 3202,https://www.facebook.com/tasquinhadolagarto/,"Rua de Campolide 258, Lisboa",https://maps.google.com/?cid=4558290944768552350,4.6,3000,2.0,True,Closed,"12:00 – 3:30 PM, 7:30 – 10:30 PM","12:00 – 3:30 PM, 7:30 – 10:30 PM","12:00 – 3:30 PM, 7:30 – 10:30 PM","12:00 – 3:30 PM, 7:30 – 10:30 PM","12:00 – 3:30 PM, 7:30 – 10:30 PM",Closed
Tentações de Goa,21 887 5824,https://www.thefork.pt/restaurante/tentacoes-de-goa/64637,"Rua de São Pedro Mártir 23, Lisboa",https://maps.google.com/?cid=13577511264468816081,4.5,451,2.0,True,7:00 – 10:00 PM,"12:00 – 3:00 PM, 7:00 – 10:00 PM","12:00 – 3:00 PM, 7:00 – 10:00 PM","12:00 – 3:00 PM, 7:00 – 10:00 PM","12:00 – 3:00 PM, 7:00 – 10:00 PM","12:00 – 3:00 PM, 7:00 – 10:00 PM",Closed
Tomo,21 301 0705,,Largo Comandante Augusto Madureira MB,https://maps.google.com/?cid=6714550235389814545,4.5,559,3.0,True,7:30 – 11:00 PM,"12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM","12:30 – 3:00 PM, 7:30 – 11:00 PM",Closed
Toma Lá Dá Cá,21 347 9243,https://toma-la-da-ca-restaurant.business.site/?utm_source=gmb&utm_medium=referral,"Travessa do Sequeiro 38, Lisboa",https://maps.google.com/?cid=1191200298487596884,4.5,884,1.0,True,"12:00 – 3:00 PM, 7:30 – 11:00 PM","12:00 – 3:00 PM, 7:30 – 11:00 PM","12:00 – 3:00 PM, 7:30 – 11:00 PM","12:00 – 3:00 PM, 7:30 – 11:00 PM","12:00 – 3:00 PM, 7:30 – 11:00 PM","12:00 – 3:00 PM, 7:30 – 11:00 PM",Closed
Último Porto,21 397 9498,https://m.facebook.com/rest.ultimoporto/?locale2=en_GB,"Rua General Gomes Araújo 1, Lisboa",https://maps.google.com/?cid=15547668405598805592,4.4,1553,2.0,True,12:00 – 4:00 PM,12:00 – 4:00 PM,12:00 – 4:00 PM,12:00 – 4:00 PM,12:00 – 4:00 PM,12:00 – 4:00 PM,Closed
Varanda,21 381 1400,https://www.fourseasons.com/lisbon/dining/restaurants/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-lis-fab-mid-seo-na&utm_content=na-na&utm_term=na,"Rua Rodrigo da Fonseca 88, Lisboa",https://maps.google.com/?cid=6927582583191477464,4.5,120,,True,"7:00 AM – 12:00 PM, 12:30 – 3:00 PM","7:00 AM – 12:00 PM, 12:30 – 3:00 PM","7:00 AM – 12:00 PM, 12:30 – 3:00 PM","7:00 AM – 12:00 PM, 12:30 – 3:00 PM","7:00 AM – 12:00 PM, 12:30 – 3:00 PM","7:00 AM – 12:00 PM, 12:30 – 3:00 PM","7:00 AM – 12:00 PM, 12:30 – 3:00 PM"
ZeroZero Príncipe Real,21 342 0091,http://www.pizzeriazerozero.pt/,"Rua da Escola Politécnica 32, Lisboa",https://maps.google.com/?cid=13262012723799115830,4.3,3221,2.0,True,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM
